#文件格式：x,y,名称,血量,类型,阵营,攻击距离,移动距离,伤害,防御
3,0,敌方大队,16,dfsb,e,1,2,3,0
7,0,敌方大队,16,dfsb,e,1,2,3,0
8,0,敌方大队,16,dfsb,e,1,2,3,0
1,1,敌方大队,15,dftower,e,3,2,2,0
13,1,敌方大队,16,dfsb,e,1,2,3,0
5,2,敌方火炮,12,dfhp,e,2,1,3,1
0,5,我方大队,16,wfsb,f,1,2,3,0
1,5,我方火炮,14,wfhp,f,2,1,3,1
10,5,敌方火炮,12,dfhp,e,2,1,3,1
0,6,我方大队,16,wfsb,f,1,2,3,0
1,6,我方大队,16,wfsb,f,1,2,3,0
2,6,我方坦克,20,wftk,f,1,2,3,1
3,6,我方坦克,20,wftk,f,1,2,3,1
5,6,敌方大队,16,dfsb,e,1,2,3,0
6,6,敌方大队,16,dfsb,e,1,2,3,0
11,6,敌方大队,16,dfsb,e,1,2,3,0
0,7,我方大队,16,wfsb,f,1,2,3,0
1,7,我方大队,16,wfsb,f,1,2,3,0
5,7,敌方大队,16,dfsb,e,1,2,3,0
6,7,敌方大队,16,dfsb,e,1,2,3,0
10,7,敌方大队,16,dfsb,e,1,2,3,0
11,7,敌方大队,16,dfsb,e,1,2,3,0
11,8,敌方大队,16,dfsb,e,1,2,3,0
4,9,敌方火炮,12,dfhp,e,2,1,3,1
8,9,敌方火炮,12,dfhp,e,2,1,3,1
#=============玩家编辑器生成=============
