#文件格式：x,y,名称,血量,类型,阵营,攻击距离,移动距离,伤害,防御
5,1,反叛军大队,20,dfsb,e,1,1,2,0
8,1,反叛军大队,20,dfsb,e,1,1,2,0
2,2,政府军大队,15,wfsb,f,1,1,3,0
5,2,反叛军大队,20,dfsb,e,1,1,2,0
8,2,反叛军大队,20,dfsb,e,1,1,2,0
9,2,反叛军大队,20,dfsb,e,1,1,2,0
11,2,敌方火炮,10,dfhp,e,2,1,3,0
12,2,A37轻型坦克,10,dftk,e,1,3,2,0
7,3,敌方电磁塔,20,dfhp,e,3,1,3,0
13,3,A37轻型坦克,10,dftk,e,1,3,2,0
2,4,政府军大队,15,wfsb,f,1,1,3,0
4,4,政府军大队,15,wfsb,f,1,1,3,0
12,4,反叛军大队,20,dfsb,e,1,1,2,0
0,5,政府军火炮部队,10,wfhp,f,2,1,3,0
3,5,政府军大队,15,wfsb,f,1,1,3,0
12,5,敌方电磁塔,20,dfhp,e,3,1,3,0
13,5,反叛军大队,20,dfsb,e,1,1,2,0
14,5,敌方电磁塔,20,dfhp,e,3,1,3,0
3,7,政府军火炮部队,10,wfhp,f,2,1,3,0
5,7,A48主战型坦克,12,wftk,f,1,2,3,1
12,7,敌方电磁塔,20,dfhp,e,3,1,3,0
14,8,A37轻型坦克,10,wftk,f,1,3,2,0
13,9,A37轻型坦克,10,wftk,f,1,3,2,0
9,10,政府军火炮部队,10,wfhp,f,2,1,3,0
#=============玩家编辑器生成=============
